Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
Minority Report,2002,"Action, Crime, Mystery",7.6,89,80,7.3,"590,876",Nominated for 1 Oscar. 20 wins & 91 nominations total,"$132,072,926",movie,Foreign
28 Days Later,2002,"Drama, Horror, Sci-Fi",7.5,87,73,7.225,"454,693",10 wins & 32 nominations,"$45,064,915",movie,Domestic
Lost in Translation,2003,"Comedy, Drama",7.7,95,91,7.393,"498,439",Won 1 Oscar. 97 wins & 133 nominations total,"$44,585,453",movie,Foreign
Old School,2003,Comedy,7.0,60,54,6.601,"246,039",5 nominations,"$75,585,093",movie,Foreign
School of Rock,2003,"Comedy, Music",7.2,92,82,7.081,"337,155",8 wins & 24 nominations,"$81,261,177",movie,Foreign
X2: X-Men United,2003,"Action, Sci-Fi, Thriller",7.4,85,68,7.033,"587,412",6 wins & 41 nominations,"$214,949,694",movie,Domestic
Cheaper by the Dozen,2003,"Comedy, Family",5.9,24,46,6.3,"110,431",2 wins & 7 nominations,"$138,614,544",movie,Foreign
The Matrix Revolutions,2003,"Action, Sci-Fi",6.7,34,47,6.7,"550,526",5 wins & 36 nominations,"$139,313,948",movie,Foreign
Mystic River,2003,"Crime, Drama, Mystery",7.9,89,84,7.741,"492,752",Won 2 Oscars. 56 wins & 144 nominations total,"$90,135,191",movie,Foreign
Scary Movie 3,2003,Comedy,5.5,35,49,6.0,"160,608",2 wins & 4 nominations,"$110,003,217",movie,Foreign
The Bourne Supremacy,2004,"Action, Mystery, Thriller",7.7,82,73,7.325,"492,399",5 wins & 22 nominations,"$176,241,941",movie,Foreign
The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",7.6,34,30,7.575,"528,262",1 win & 8 nominations,"$57,938,693",movie,Foreign
Collateral,2004,"Action, Crime, Drama",7.5,86,71,7.225,"439,222",Nominated for 2 Oscars. 22 wins & 73 nominations total,"$101,005,703",movie,Foreign
"I, Robot",2004,"Action, Mystery, Sci-Fi",7.1,59/10,59,6.951,"583,616",Nominated for 1 Oscar. 1 win & 15 nominations total,"$144,801,023",movie,Foreign
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",8.0,84,83,7.9,"819,291",23 wins & 84 nominations,"$66,208,183",movie,Foreign
Million Dollar Baby,2004,"Drama, Sport",8.1,90,86,7.956,"730,304",Won 4 Oscars. 68 wins & 86 nominations total,"$100,492,203",movie,Foreign
Spider-Man 2,2004,"Action, Adventure, Sci-Fi",7.5,93,83,7.285,"722,783",Won 1 Oscar. 25 wins & 60 nominations total,"$374,337,514",movie,Foreign
Van Helsing,2004,"Action, Adventure, Fantasy",6.1,35/10,35,6.373,"290,123",3 wins & 21 nominations,"$120,177,084",movie,Foreign
Madagascar,2005,"Animation, Adventure, Comedy",6.9,55,57,6.909,"445,257",4 wins & 32 nominations,"$193,595,521",movie,Foreign
The Sisterhood of the Traveling Pants,2005,"Comedy, Drama, Romance",6.5,82,66,6.5,"65,820",1 win & 14 nominations,"$39,053,061",movie,Foreign
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family",6.7,83,72,7.051,"538,228",Nominated for 1 Oscar. 15 wins & 52 nominations total,"$206,459,076",movie,Domestic
The Dukes of Hazzard,2005,Comedy,5.1,14,33,5.5,"82,406",5 wins & 14 nominations,"$80,270,227",movie,Foreign
Fantastic Four,2005,"Action, Adventure, Fantasy",5.7,28,40,5.785,"348,138",4 wins & 13 nominations,"$154,696,080",movie,Domestic
The Island,2005,"Action, Sci-Fi, Thriller",6.8,50/10,50,6.7,"330,737",1 win & 6 nominations,"$35,818,913",movie,Foreign
Serenity,2005,"Action, Adventure, Sci-Fi",7.8,82,74,7.372,"307,825",9 wins & 10 nominations,"$25,514,517",movie,Foreign
War of the Worlds,2005,"Action, Adventure, Sci-Fi",6.5,76,73,6.51,"480,907",Nominated for 3 Oscars. 16 wins & 49 nominations total,"$234,280,354",movie,Foreign
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Thriller",6.1,37,45,6.503,"305,173",1 win & 4 nominations,"$62,514,415",movie,Foreign
Inside Man,2006,"Crime, Drama, Mystery",7.6,86,76,7.4,"403,674",5 wins & 12 nominations,"$88,513,495",movie,Foreign
Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",7.4,53,53,7.4,"779,539",Won 1 Oscar. 45 wins & 54 nominations total,"$423,315,812",movie,Foreign
Scary Movie 4,2006,Comedy,5.1,34,40,5.479,"130,871",1 win & 3 nominations,"$90,710,620",movie,Foreign
Silent Hill,2006,"Horror, Mystery",6.5,32,31,6.6,"247,675",8 nominations,"$46,982,632",movie,Domestic
Blood Diamond,2006,"Adventure, Drama, Thriller",8.0,63,64,7.546,"594,477",Nominated for 5 Oscars. 8 wins & 32 nominations total,"$57,377,916",movie,Foreign
Harry Potter and the Order of the Phoenix,2007,"Action, Adventure, Family",7.5,78,71,7.7,"644,951",Nominated for 2 BAFTA 17 wins & 50 nominations total,"$292,382,727",movie,Domestic
Hitman,2007,"Action, Crime, Thriller",6.2,35/10,35,6.126,"180,182",2 wins,"$39,687,694",movie,Domestic
Hot Fuzz,2007,"Action, Comedy, Mystery",7.8,91,81,7.6,"542,770",2 wins & 9 nominations,"$23,637,265",movie,Domestic
I Am Legend,2007,"Action, Drama, Horror",7.2,68,65,7.208,"827,903",9 wins & 23 nominations,"$256,393,010",movie,Foreign
The Mist,2007,"Horror, Sci-Fi, Thriller",7.1,73,58,6.9,"347,646",6 wins & 13 nominations,"$25,594,957",movie,Foreign
Pirates of the Caribbean: At World's End,2007,"Action, Adventure, Fantasy",7.1,44,50,7.26,"704,075",Nominated for 2 Oscars. 23 wins & 51 nominations total,"$309,420,425",movie,Foreign
Spider-Man 3,2007,"Action, Adventure, Sci-Fi",6.3,63,59,6.431,"648,969",Nominated for 1 BAFTA Award4 wins & 44 nominations total,"$337,281,992",movie,Foreign
Zodiac,2007,"Crime, Drama, Mystery",7.7,90,79,7.5,"612,982",3 wins & 71 nominations,"$33,080,084",movie,Foreign
Hancock,2008,"Action, Comedy, Drama",6.4,42,49,6.349,"518,058",4 wins & 14 nominations,"$227,946,274",movie,Foreign
Kung Fu Panda,2008,"Animation, Action, Adventure",7.6,87,74,7.289,"533,475",Nominated for 1 Oscar. 15 wins & 39 nominations total,"$215,771,591",movie,Foreign
Seven Pounds,2008,"Drama, Mystery, Thriller",7.6,27,36,7.61,"317,640",4 wins & 7 nominations,"$69,951,824",movie,Foreign
Angels & Demons,2009,"Action, Mystery, Thriller",6.7,36,48,6.717,"312,930",1 win & 5 nominations,"$133,375,846",movie,Foreign
Knowing,2009,"Action, Mystery, Sci-Fi",6.2,35,41,6.216,"251,135",1 win & 6 nominations,"$79,957,634",movie,Foreign
Couples Retreat,2009,Comedy,5.5,10,23,5.6,"116,191",1 win & 4 nominations,"$109,204,945",movie,Foreign
The Lovely Bones,2009,"Drama, Fantasy, Thriller",6.6,31,42,7.074,"181,889",Nominated for 1 Oscar. 10 wins & 46 nominations total,"$44,114,232",movie,Foreign
The Karate Kid,2010,"Action, Drama, Family",6.2,66,61,6.535,"210,147",5 wins & 12 nominations,"$176,591,618",movie,Foreign
Knight and Day,2010,"Action, Adventure, Comedy",6.3,52,46,6.217,"212,638",3 nominations,"$76,423,035",movie,Foreign
The Last Airbender,2010,"Action, Adventure, Family",4.0,5,20,4.651,"176,573",8 wins & 12 nominations,"$131,772,187",movie,Foreign
Megamind,2010,"Animation, Action, Adventure",7.3,73,63,6.997,"301,476",2 wins & 16 nominations,"$148,415,853",movie,Foreign
Predators,2010,"Action, Adventure, Sci-Fi",6.4,65,51,6.3,"247,771",2 wins & 4 nominations,"$52,000,688",movie,Foreign
Shrek Forever After,2010,"Animation, Adventure, Comedy",6.3,57,58,6.4,"228,824",1 win & 13 nominations,"$238,736,787",movie,Foreign
Unstoppable,2010,"Action, Thriller",6.8,87,69,6.6,"210,006",Nominated for 1 Oscar. 1 win & 14 nominations total,"$81,562,942",movie,Foreign
Drive Angry,2011,"Action, Comedy, Fantasy",5.4,47,44,5.5,"104,146",1 win & 6 nominations,"$10,721,033",movie,Foreign
The Green Hornet,2011,"Action, Comedy, Crime",5.8,45,39,5.595,"165,376",4 wins & 7 nominations,"$98,780,042",movie,Foreign
Hanna,2011,"Action, Adventure, Drama",6.7,72,65,6.594,"208,302",8 wins & 26 nominations,"$40,259,119",movie,Foreign
Insidious,2010,"Horror, Mystery, Thriller",6.8,67,52,6.946,"344,489",8 wins & 16 nominations,"$54,009,150",movie,Foreign
Kung Fu Panda 2,2011,"Animation, Action, Adventure",7.3,81,67,7.03,"327,958",Nominated for 1 Oscar. 5 wins & 47 nominations total,"$165,249,063",movie,Foreign
Red Riding Hood,2011,"Fantasy, Horror, Mystery",5.4,10,29,5.976,"116,529",5 nominations,"$37,662,162",movie,Foreign
Unknown,2011,"Action, Mystery, Thriller",6.8,55,56,6.668,"271,006",3 nominations,"$63,686,397",movie,Domestic
Your Highness,2011,"Action, Adventure, Comedy",5.5,27,31,5.3,"105,254",1 win & 3 nominations,"$21,596,445",movie,Foreign
Colombiana,2011,"Action, Crime, Drama",6.4,28,45,6.6,"109,116",2 wins & 5 nominations,"$36,665,854",movie,Domestic
Extremely Loud & Incredibly Close,2011,"Adventure, Drama, Mystery",6.9,45,46,7.0,"105,538",Nominated for 2 Oscars. 8 wins & 26 nominations total,"$31,847,881",movie,Foreign
Killer Elite,2011,"Action, Crime, Thriller",6.4,28,44,6.3,"136,514",2 wins & 8 nominations,"$25,124,966",movie,Domestic
The Muppets,2011,"Adventure, Comedy, Family",7.1,95,75,6.7,"97,716",Won 1 Oscar. 18 wins & 43 nominations total,"$88,631,237",movie,Foreign
Puss in Boots,2011,"Animation, Action, Adventure",6.6,86,65,6.569,"196,207",Nominated for 1 Oscar. 9 wins & 43 nominations total,"$149,260,504",movie,Foreign
Tower Heist,2011,"Action, Comedy, Crime",6.2,67,59,6.1,"152,564",3 nominations,"$78,046,570",movie,Foreign
War Horse,2011,"Action, Adventure, Drama",7.2,75,72,7.3,"167,159",Nominated for 6 Oscars. 15 wins & 76 nominations total,"$79,884,879",movie,Foreign
Act of Valor,2012,"Action, Adventure, Thriller",6.4,28,40,6.5,"72,190",1 win & 7 nominations,"$70,012,847",movie,Foreign
The Cold Light of Day,2012,"Action, Thriller",4.9,4,22,5.4,"39,926",2 nominations,"$3,763,583",movie,Foreign
Frankenweenie,2012,"Animation, Comedy, Drama",6.9,88,74,6.972,"119,223",Nominated for 1 Oscar. 11 wins & 50 nominations total,"$35,291,068",movie,Foreign
Gone,2012,"Action, Adventure, Mystery",5.9,12,36,6.2,"46,613",N/A,"$11,682,205",movie,Foreign
Journey 2: The Mysterious Island,2012,"Action, Adventure, Comedy",5.7,45,41,6.2,"113,941",7 wins & 4 nominations,"$103,887,748",movie,Foreign
The Lucky One,2012,"Drama, Mystery, Romance",6.4,20,39,7.159,"114,782",5 wins & 7 nominations,"$60,457,138",movie,Foreign
Mirror Mirror,2012,"Adventure, Comedy, Drama",5.6,49,46,5.913,"91,806",Nominated for 1 Oscar. 2 wins & 9 nominations total,"$64,935,167",movie,Foreign
Paranormal Activity 4,2012,"Horror, Mystery",4.6,23,40,5.4,"71,062",2 wins,"$53,885,000",movie,Foreign
The Possession,2012,"Horror, Mystery, Thriller",5.9,39,45,6.0,"63,649",6 nominations,"$49,130,154",movie,Foreign
The Raid: Redemption,2011,"Action, Crime, Thriller",7.6,87,73,7.411,"219,434",9 wins & 23 nominations,"$4,105,187",movie,Domestic
Trouble with the Curve,2012,"Drama, Romance, Sport",6.8,51,58,6.979,"69,422",2 wins & 1 nomination,"$35,763,137",movie,Foreign
Underworld: Awakening,2012,"Action, Fantasy, Thriller",6.3,25,39,6.3,"162,613",1 win,"$62,321,039",movie,Foreign
The Woman in Black,2012,"Drama, Fantasy, Horror",6.4,66,62,6.1,"194,371",5 wins & 14 nominations,"$54,333,290",movie,Domestic
American Mary,2012,"Drama, Horror",6.2,62,46,6.2,"28,740",15 wins & 9 nominations,N/A,movie,Foreign
The World's End,2013,"Action, Comedy, Sci-Fi",6.9,89,81,6.8,"301,247",4 wins & 28 nominations,"$26,004,851",movie,Domestic
Erased,2012,"Action, Thriller",6.0,30,34,6.1,"32,956",1 win & 2 nominations,N/A,movie,Foreign
Lay the Favorite,2012,"Comedy, Drama, Romance",4.8,18,38,5.3,"12,185",1 nomination,"$20,998",movie,Foreign
Robot & Frank,2012,"Comedy, Crime, Drama",7.0,86,67,6.917,"66,021",2 wins & 6 nominations,"$3,325,038",movie,Foreign
Would You Rather,2012,"Horror, Thriller",5.7,61,20,6.0,"46,429",1 nomination,N/A,movie,Foreign
Bullet to the Head,2012,"Action, Crime, Thriller",5.7,45,48,5.6,"52,868",1 nomination,"$9,489,829",movie,Foreign
Gambit,2012,"Comedy, Crime",5.7,17,N/A,5.5,"26,139",1 nomination,N/A,movie,Foreign
Red Lights,2012,"Drama, Fantasy, Mystery",6.2,31,36,6.2,"67,065",2 nominations,"$52,624",movie,Domestic
Arbitrage,2012,"Drama, Thriller",6.6,87,73,6.3,"55,334",4 wins & 6 nominations,"$7,919,574",movie,Foreign
The Baytown Outlaws,2012,"Action, Comedy, Crime",6.3,23,33,6.0,"16,168",1 nomination,N/A,movie,Foreign
The Tree of Life,2011,"Drama, Fantasy",6.8,85,85,6.746,"185,485",Nominated for 3 Oscars. 116 wins & 129 nominations total,"$13,303,319",movie,Foreign
Killer Joe,2011,"Crime, Drama, Thriller",6.7,80,62,6.526,"84,349",9 wins & 21 nominations,"$1,987,762",movie,Foreign
Winter's Bone,2010,"Crime, Drama, Mystery",7.1,94,90,6.8,"152,106",Nominated for 4 Oscars. 63 wins & 131 nominations total,"$6,531,503",movie,Foreign
The Road,2009,"Drama, Thriller",7.2,74,64,7.008,"257,568",Nominated for 1 BAFTA Award5 wins & 34 nominations total,"$8,117,000",movie,Foreign
In Bruges,2008,"Comedy, Crime, Drama",7.9,85,67,7.491,"468,566",Nominated for 1 Oscar. 24 wins & 55 nominations total,"$7,800,824",movie,Domestic
Sunshine,2007,"Sci-Fi, Thriller",7.2,77,64,7.0,"270,859",1 win & 22 nominations,"$3,675,753",movie,Domestic
Children of Men,2006,"Action, Drama, Sci-Fi",7.9,92,84,7.6,"536,899",Nominated for 3 Oscars. 49 wins & 89 nominations total,"$35,552,383",movie,Foreign
The Machinist,2004,"Drama, Thriller",7.6,77,61,7.524,"421,032",7 wins & 15 nominations,"$1,082,715",movie,Foreign
Murderous Intent,2006,"Crime, Horror, Mystery",6.3,38,N/A,6.3,"5,690",N/A,N/A,movie,Foreign
Equilibrium,2002,"Action, Drama, Sci-Fi",7.3,40,33,7.046,"350,429",2 nominations,"$1,203,794",movie,Foreign
"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",8.1,75,66,8.121,"622,950",Won 1 BAFTA Award13 wins & 9 nominations total,"$3,753,929",movie,Domestic
Interstellar,2014,"Adventure, Drama, Sci-Fi",8.7,73,74,8.441,"2,170,072",Won 1 Oscar. 44 wins & 148 nominations total,"$188,020,017",movie,Foreign
Godzilla,2014,"Action, Adventure, Sci-Fi",6.4,76,62,6.3,"447,363",7 wins & 31 nominations,"$200,676,069",movie,Foreign
Before Midnight,2013,"Drama, Romance",7.9,98,94,7.515,"175,205",Nominated for 1 Oscar. 20 wins & 63 nominations total,"$8,114,627",movie,Foreign
The Heat,2013,"Action, Comedy, Crime",6.6,66,60,6.6,"183,022",7 wins & 16 nominations,"$159,582,188",movie,Foreign
The Conjuring,2013,"Horror, Mystery, Thriller",7.5,86,68,7.5,"565,667",15 wins & 22 nominations,"$137,446,368",movie,Foreign
The Rocky Horror Picture Show,1975,"Comedy, Horror, Musical",7.4,80,65,7.5,"169,943",3 wins & 4 nominations,"$112,892,319",movie,Domestic
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",8.2,96,91,7.801,"576,210",2 wins & 2 nominations,"$2,562,392",movie,Foreign
The Exorcist,1973,Horror,8.1,78,81,7.735,"464,385",Won 2 Oscars. 18 wins & 21 nominations total,"$233,005,644",movie,Foreign
Rocky,1976,"Drama, Sport",8.1,92,70,7.8,"640,267",Won 3 Oscars. 22 wins & 23 nominations total,"$117,235,147",movie,Foreign
Superman,1978,"Action, Adventure, Sci-Fi",7.4,94,82,7.1,"190,708",Nominated for 3 Oscars. 19 wins & 23 nominations total,"$134,478,449",movie,Foreign
The Thing,1982,"Horror, Mystery, Sci-Fi",8.2,85,57,8.1,"478,095",5 nominations,"$19,857,465",movie,Foreign
Terms of Endearment,1983,"Comedy, Drama",7.4,82,79,7.1,"66,666",Won 5 Oscars. 32 wins & 22 nominations total,"$108,423,489",movie,Foreign
Indiana Jones and the Temple of Doom,1984,"Action, Adventure",7.5,77,57,7.3,"541,506",Won 1 Oscar. 11 wins & 22 nominations total,"$179,870,271",movie,Foreign
The NeverEnding Story,1984,"Adventure, Drama, Family",7.3,84,46,7.197,"159,762",5 wins & 9 nominations,"$20,192,381",movie,Domestic
The Lost Boys,1987,"Comedy, Horror",7.2,77,63,7.1,"165,361",3 wins & 5 nominations,"$32,315,444",movie,Foreign
Spaceballs,1987,"Adventure, Comedy, Sci-Fi",7.1,52,46,6.8,"210,208",1 win,"$38,119,483",movie,Foreign
Beetlejuice,1988,"Comedy, Fantasy",7.5,83,70,7.4,"368,911",Won 1 Oscar. 7 wins & 11 nominations total,"$74,664,632",movie,Foreign
Batman,1989,"Action, Adventure",7.5,77,69,7.2,"411,015",Won 1 Oscar. 11 wins & 28 nominations total,"$251,409,241",movie,Foreign
The Godfather Part III,1990,"Crime, Drama",7.6,66,60,7.4,"430,275",Nominated for 7 Oscars. 6 wins & 23 nominations total,"$66,761,392",movie,Foreign
Basic Instinct,1992,"Drama, Mystery, Thriller",7.1,55,43,6.919,"223,646",Nominated for 2 Oscars. 6 wins & 23 nominations total,"$117,727,224",movie,Domestic
A Few Good Men,1992,"Drama, Thriller",7.7,84,62,7.5,"293,271",Nominated for 4 Oscars. 10 wins & 30 nominations total,"$141,340,178",movie,Foreign
The Secret Garden,1993,"Drama, Family, Fantasy",7.3,89,74,7.4,"44,999",Nominated for 1 BAFTA Award3 wins & 6 nominations total,"$31,181,347",movie,Foreign
True Romance,1993,"Crime, Drama, Romance",7.9,93,59,7.538,"245,538",1 win & 10 nominations,"$12,281,551",movie,Foreign
What's Eating Gilbert Grape,1993,Drama,7.7,90,73,7.7,"257,503",Nominated for 1 Oscar. 8 wins & 7 nominations total,"$10,032,765",movie,Foreign
True Lies,1994,"Action, Comedy, Thriller",7.3,70,63,7.076,"285,400",Nominated for 1 Oscar. 8 wins & 23 nominations total,"$146,282,411",movie,Foreign
Die Hard with a Vengeance,1995,"Action, Adventure, Thriller",7.6,59,58,7.3,"412,758",2 wins & 3 nominations,"$100,012,499",movie,Foreign
Friday,1995,"Comedy, Drama",7.2,54/10,54,7.2,"126,940",1 win & 5 nominations,"$27,467,564",movie,Foreign
Hackers,1995,"Crime, Drama, Romance",6.2,33,46,6.3,"76,562",1 nomination,"$7,563,728",movie,Foreign
From Dusk Till Dawn,1996,"Action, Crime, Horror",7.2,63,48,7.0,"346,391",7 wins & 13 nominations,"$25,836,616",movie,Foreign
The NeverEnding Story III,1994,"Adventure, Comedy, Family",3.2,,,,,,,,Domestic
A Time to Kill,1996,"Crime, Drama, Thriller",7.5,67,54,7.379,"185,564",7 wins & 12 nominations,"$108,766,007",movie,Foreign
Mars Attacks!,1996,"Comedy, Sci-Fi",6.4,56,52,6.4,"247,687",3 wins & 19 nominations,"$37,781,197",movie,Foreign
Scream,1996,"Horror, Mystery",7.4,81,65,7.4,"397,529",12 wins & 11 nominations,"$103,046,663",movie,Foreign
The Game,1997,"Drama, Mystery, Thriller",7.7,77,63,7.568,"438,872",1 nomination,"$48,323,648",movie,Foreign
Jackie Brown,1997,"Crime, Drama, Thriller",7.5,88,64,7.357,"380,373",Nominated for 1 Oscar. 9 wins & 24 nominations total,"$39,673,162",movie,Foreign
Starship Troopers,1997,"Action, Adventure, Sci-Fi",7.3,72,52,7.1,"326,878",Nominated for 1 Oscar. 3 wins & 16 nominations total,"$54,814,377",movie,Foreign
Mulan,1998,"Animation, Adventure, Comedy",7.7,86,71,7.91,"322,805",Nominated for 1 Oscar. 17 wins & 21 nominations total,"$120,620,254",movie,Foreign
A Bug's Life,1998,"Animation, Adventure, Comedy",7.2,92,77,6.972,"319,596",Nominated for 1 Oscar. 14 wins & 21 nominations total,"$162,798,565",movie,Foreign
Eyes Wide Shut,1999,"Drama, Mystery, Thriller",7.5,76,68,7.484,"382,644",12 wins & 30 nominations,"$55,691,208",movie,Domestic
Cast Away,2000,"Adventure, Drama, Romance",7.8,89,73,7.664,"648,352",Nominated for 2 Oscars. 15 wins & 36 nominations total,"$233,632,142",movie,Foreign
Gone in 60 Seconds,2000,"Action, Crime, Thriller",6.5,26,35,6.4,"298,485",9 wins & 6 nominations,"$101,648,571",movie,Foreign
Jay and Silent Bob Strike Back,2001,Comedy,6.8,52,51,6.4,"162,336",1 win & 3 nominations,"$30,085,147",movie,Foreign
The Mummy Returns,2001,"Action, Adventure, Fantasy",6.4,46,48,6.374,"350,777",6 wins & 19 nominations,"$202,019,785",movie,Foreign
Not Another Teen Movie,2001,Comedy,5.8,32,32,5.78,"118,087",5 nominations,"$38,252,284",movie,Foreign
Planet of the Apes,2001,"Action, Adventure, Sci-Fi",5.7,43,50,5.757,"235,174",Nominated for 2 BAFTA 11 wins & 32 nominations total,"$180,011,740",movie,Foreign
Zoolander,2001,Comedy,6.5,65,61,6.204,"298,022",1 win & 11 nominations,"$45,172,250",movie,Domestic
Super Troopers,2001,"Comedy, Crime, Mystery",7.0,36,48,6.6,"114,364",1 win,"$18,492,362",movie,Foreign
Die Another Day,2002,"Action, Adventure, Thriller",6.1,55,56,6.0,"231,107",6 wins & 36 nominations,"$160,942,139",movie,Domestic
Ice Age,2002,"Animation, Adventure, Comedy",7.5,77,61,7.4,"528,052",Nominated for 1 Oscar. 5 wins & 30 nominations total,"$176,387,405",movie,Foreign
Resident Evil,2002,"Action, Horror, Sci-Fi",6.6,36,33,6.637,"293,053",7 nominations,"$40,119,709",movie,Foreign
The Ring,2002,"Horror, Mystery",7.1,71,57,6.671,"381,082",14 wins & 12 nominations,"$129,128,133",movie,Foreign
2 Fast 2 Furious,2003,"Action, Crime, Thriller",5.9,37,38,6.505,"301,921",4 wins & 13 nominations,"$127,154,901",movie,Foreign
Anger Management,2003,Comedy,6.3,42,52,6.143,"231,157",2 wins & 4 nominations,"$135,645,823",movie,Foreign
Hulk,2003,"Action, Sci-Fi",5.6,63,54,5.551,"281,620",3 wins & 14 nominations,"$132,177,234",movie,Foreign
Identity,2003,"Mystery, Thriller",7.3,63,64,7.181,"272,641",1 win & 11 nominations,"$52,159,536",movie,Foreign
Wrong Turn,2003,"Horror, Thriller",6.1,41,32,6.4,"134,705",3 nominations,"$15,418,790",movie,Domestic
Bad Santa,2003,"Comedy, Crime, Drama",7.0,78,70,6.5,"156,020",1 win & 12 nominations,"$60,060,328",movie,Domestic
The Chronicles of Riddick,2004,"Action, Adventure, Sci-Fi",6.6,29,38,6.524,"244,716",5 nominations,"$57,761,012",movie,Foreign
Dawn of the Dead,2004,"Action, Horror",7.3,76,59,7.058,"276,184",1 win & 17 nominations,"$59,020,957",movie,Foreign
The Day After Tomorrow,2004,"Action, Adventure, Sci-Fi",6.5,45,47,6.537,"485,639",Won 1 BAFTA Award6 wins & 12 nominations total,"$186,740,799",movie,Foreign
A Series of Unfortunate Events,2004,"Adventure, Comedy, Family",6.8,72,62,6.8,"223,240",Won 1 Oscar. 10 wins & 28 nominations total,"$118,634,549",movie,Domestic
Man on Fire,2004,"Action, Crime, Drama",7.7,39,47,7.463,"395,981",1 win & 7 nominations,"$77,911,774",movie,Domestic
Ocean's Twelve,2004,"Crime, Thriller",6.5,55,58,6.569,"418,771",4 wins & 10 nominations,"$125,544,280",movie,Foreign
Saw,2004,"Horror, Mystery, Thriller",7.6,50,46,7.421,"475,763",9 wins & 10 nominations,"$56,000,369",movie,Foreign
Shrek 2,2004,"Animation, Adventure, Comedy",7.3,89,75,7.3,"515,308",Nominated for 2 Oscars. 18 wins & 52 nominations total,"$444,854,717",movie,Foreign
White Chicks,2004,"Comedy, Crime",5.8,15,41,7.0,"169,306",3 wins & 13 nominations,"$70,831,760",movie,Foreign
The Amityville Horror,2005,Horror,5.9,24,33,6.141,"118,677",2 wins & 4 nominations,"$65,233,369",movie,Foreign
Constantine,2005,"Action, Fantasy, Horror",7.0,46,50,7.094,"381,888",2 wins & 11 nominations,"$75,976,178",movie,Foreign
Cheaper by the Dozen 2,2005,"Adventure, Comedy, Family",5.5,7,34,6.2,"63,639",1 win & 5 nominations,"$82,571,173",movie,Foreign
Land of the Dead,2005,"Horror, Sci-Fi, Thriller",6.2,74,71,6.2,"101,728",2 wins & 17 nominations,"$20,700,082",movie,Domestic
Crank,2006,"Action, Crime, Thriller",6.9,62,57,6.649,"266,628",2 wins & 2 nominations,"$27,838,408",movie,Foreign
The Da Vinci Code,2006,"Mystery, Thriller",6.6,25,46,6.727,"464,271",8 wins & 21 nominations,"$217,536,138",movie,Foreign
Grandma's Boy,2006,Comedy,6.9,15,33,6.5,"89,555",1 nomination,"$6,090,172",movie,Foreign
Little Miss Sunshine,2006,"Comedy, Drama",7.8,91,80,7.692,"524,817",Won 2 Oscars. 72 wins & 112 nominations total,"$59,891,098",movie,Foreign
Lucky Number Slevin,2006,"Crime, Drama, Thriller",7.7,53/10,53,7.479,"328,350",5 wins & 4 nominations,"$22,495,466",movie,Domestic
Apocalypto,2006,"Action, Adventure, Drama",7.8,65,68,7.582,"335,761",Nominated for 3 Oscars. 9 wins & 23 nominations total,"$50,866,635",movie,Foreign
28 Weeks Later,2007,"Horror, Sci-Fi",6.9,72,78,6.6,"298,328",3 wins & 16 nominations,"$28,638,916",movie,Domestic
August Rush,2007,"Drama, Music",7.4,37,38,7.4,"111,882",Nominated for 1 Oscar. 4 wins & 11 nominations total,"$31,664,162",movie,Foreign
Bridge to Terabithia,2007,"Drama, Family, Fantasy",7.2,85,74,7.3,"176,452",6 wins & 5 nominations,"$82,272,442",movie,Foreign
Evan Almighty,2007,"Comedy, Family, Fantasy",5.4,24,37,5.574,"156,821",2 wins & 11 nominations,"$100,462,298",movie,Foreign
Gone Baby Gone,2007,"Crime, Drama, Mystery",7.6,94,72,7.304,"297,409",Nominated for 1 Oscar. 33 wins & 32 nominations total,"$20,292,962",movie,Foreign
The Number 23,2007,"Crime, Mystery, Thriller",6.4,7,N/A,6.4,"214,331",5 nominations,"$35,193,167",movie,Foreign
Ocean's Thirteen,2007,"Crime, Thriller",6.9,70,62,6.7,"371,168",1 win & 5 nominations,"$117,154,724",movie,Foreign
Sweeney Todd: The Demon Barber of Fleet Street,2007,"Drama, Horror, Musical",7.3,86,83,7.183,"390,604",Won 1 Oscar. 34 wins & 77 nominations total,"$52,898,073",movie,Foreign
Cloverfield,2008,"Action, Horror, Sci-Fi",7.0,78,64,6.691,"425,486",5 wins & 34 nominations,"$80,048,433",movie,Foreign
Never Back Down,2008,"Action, Drama, Sport",6.5,21,39,6.8,"107,549",1 win,"$24,850,922",movie,Foreign
Rambo,2008,"Action, Adventure, Thriller",7.0,38,46,6.684,"246,952",1 win & 1 nomination,"$42,754,105",movie,Domestic
Paranormal Activity,2007,"Horror, Mystery",6.3,83,68,6.003,"260,179",3 wins & 12 nominations,"$107,918,810",movie,Foreign
