Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
Tropic Thunder,2008,"Action, Comedy, War",7.1,82,71,6.677,"455,001",Nominated for 1 Oscar. 10 wins & 47 nominations total,"$110,515,313",movie,Foreign
G.I. Joe: The Rise of Cobra,2009,"Action, Adventure, Sci-Fi",5.7,33,32,5.773,"216,277",3 wins & 16 nominations,"$150,201,498",movie,Foreign
The Hangover,2009,Comedy,7.7,79,73,7.3,"861,846",Nominated for 1 BAFTA Award13 wins & 25 nominations total,"$277,339,746",movie,Foreign
Inglourious Basterds,2009,"Adventure, Drama, War",8.4,89,69,8.219,"1,615,135",Won 1 Oscar. 134 wins & 172 nominations total,"$120,540,719",movie,Foreign
Star Trek,2009,"Action, Adventure, Sci-Fi",7.9,94,82,7.4,"623,760",Won 1 Oscar. 27 wins & 95 nominations total,"$257,730,019",movie,Foreign
Taken,2008,"Action, Crime, Thriller",7.7,60,51,7.392,"643,027",2 wins & 2 nominations,"$145,000,989",movie,Domestic
Up,2009,"Animation, Adventure, Comedy",8.3,98,88,7.958,"1,146,854",Won 2 Oscars. 81 wins & 88 nominations total,"$293,004,164",movie,Foreign
X-Men Origins: Wolverine,2009,"Action, Sci-Fi",6.5,38,40,6.274,"544,918",3 wins & 21 nominations,"$179,883,157",movie,Foreign
Zombieland,2009,"Action, Comedy, Horror",7.5,89,73,7.261,"631,017",10 wins & 29 nominations,"$75,590,286",movie,Foreign
2012,2009,"Action, Adventure, Sci-Fi",5.8,39,49,5.8,"403,189",5 wins & 21 nominations,"$166,112,167",movie,Foreign
Avatar,2009,"Action, Adventure, Fantasy",7.9,81,83,7.6,"1,404,088",Won 3 Oscars. 91 wins & 131 nominations total,"$785,221,649",movie,Foreign
Despicable Me,2010,"Animation, Adventure, Comedy",7.6,80,72,7.244,"595,097",Nominated for 1 BAFTA Award3 wins & 41 nominations total,"$251,683,815",movie,Foreign
Grown Ups,2010,Comedy,6.0,10,30,6.388,"284,290",3 wins & 4 nominations,"$162,001,186",movie,Foreign
How to Train Your Dragon,2010,"Animation, Action, Adventure",8.1,99,75,7.829,"815,777",Nominated for 2 Oscars. 25 wins & 63 nominations total,"$217,581,231",movie,Foreign
Inception,2010,"Action, Adventure, Sci-Fi",8.8,87,74,8.368,"2,592,712",Won 4 Oscars. 159 wins & 220 nominations total,"$292,587,330",movie,Foreign
Iron Man 2,2010,"Action, Sci-Fi",6.9,72,57,6.843,"882,110",Nominated for 1 Oscar. 7 wins & 45 nominations total,"$312,433,331",movie,Foreign
Kick-Ass,2010,"Action, Comedy, Crime",7.6,77,66,7.124,"600,084",19 wins & 63 nominations,"$48,071,303",movie,Domestic
