Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
29,tt10295212,2021-09-03,2021-11-21,"Hindi","Shershaah","Shershaah",https://www.imdb.com/title/tt10295212/,Movie,8.3,135,2021,"Action, Biography, Drama, War",131071,2021-08-12,"Vishnuvardhan"
30,tt10228134,2021-09-03,2021-09-03,,"Jolt","Jolt",https://www.imdb.com/title/tt10228134/,Movie,5.6,91,2021,"Action, Comedy, Crime, Thriller",36255,2021-07-23,"Tanya Wexler"
31,tt9777666,2021-05-27,2021-05-27,,"The Tomorrow War","The Tomorrow War",https://www.imdb.com/title/tt9777666/,Movie,6.6,138,2021,"Action, Adventure, Drama, Sci-Fi, Thriller",234159,2021-07-02,"Chris McKay"
32,tt10741542,2021-09-03,2021-11-21,"Hindi","Sherni","Sherni",https://www.imdb.com/title/tt10741542/,Movie,6.8,131,2021,"Action, Adventure, Drama, Thriller",11619,2021-06-18,"Amit Masurkar"
33,tt0499097,2021-05-26,2021-05-26,,"Without Remorse","Without Remorse",https://www.imdb.com/title/tt0499097/,Movie,5.8,109,2021,"Action, Drama, Thriller, War",66079,2021-04-30,"Stefano Sollima"
34,tt6802400,2021-05-26,2021-05-26,,"Coming 2 America","Coming 2 America",https://www.imdb.com/title/tt6802400/,Movie,5.3,110,2021,"Comedy, Music",77254,2021-03-05,"Craig Brewer"
35,tt12361178,2021-11-21,2021-11-21,"Malayalam","Drishyam 2","Drishyam 2",https://www.imdb.com/title/tt12361178/,Movie,8.4,152,2021,"Crime, Drama, Thriller",41906,2021-02-19,"Jeethu Joseph"
36,tt11080108,2021-05-26,2021-05-26,,"The Map of Tiny Perfect Things","The Map of Tiny Perfect Things",https://www.imdb.com/title/tt11080108/,Movie,6.8,98,2021,"Comedy, Fantasy, Romance",29284,2021-02-12,"Ian Samuels"
37,tt10333426,2021-05-26,2021-05-26,,"Bliss","Bliss",https://www.imdb.com/title/tt10333426/,Movie,5.4,103,2021,"Drama, Romance, Sci-Fi",20673,2021-02-05,"Mike Cahill"
38,tt9902160,2021-05-26,2021-05-26,,"Herself","Herself",https://www.imdb.com/title/tt9902160/,Movie,7.0,97,2020,"Drama",4850,2021-01-08,"Phyllida Lloyd"
39,tt10612922,2021-05-26,2021-05-26,,"One Night in Miami...","One Night in Miami...",https://www.imdb.com/title/tt10612922/,Movie,7.1,114,2020,"Drama",34725,2021-01-08,"Regina King"
40,tt9827834,2021-05-26,2021-05-26,,"Sylvie's Love","Sylvie's Love",https://www.imdb.com/title/tt9827834/,Movie,6.8,116,2020,"Drama, Music, Romance",6565,2020-12-23,"Eugene Ashe"
41,tt13491620,2021-05-27,2021-05-27,"Hindi","Unpaused","Unpaused",https://www.imdb.com/title/tt13491620/,Movie,7.0,113,2020,"Drama, Romance",2704,2020-12-18,"Nikkhil Advani, Avinash Arun, Tannishtha Chatterjee, Krishna D.K., Nitya Mehra, Raj Nidimoru"
42,tt10243992,2021-05-26,2021-05-26,,"I'm Your Woman","I'm Your Woman",https://www.imdb.com/title/tt10243992/,Movie,6.2,120,2020,"Crime, Drama",10130,2020-12-11,"Julia Hart"
43,tt11229134,2021-05-27,2021-05-27,"Hindi","Durgamati: The Myth","Durgamati: The Myth",https://www.imdb.com/title/tt11229134/,Movie,4.0,155,2020,"Horror, Thriller",5713,2020-12-11,"Ashok G."
44,tt11327514,2021-05-26,2021-05-26,,"Uncle Frank","Uncle Frank",https://www.imdb.com/title/tt11327514/,Movie,7.3,95,2020,"Comedy, Drama",23531,2020-11-25,"Alan Ball"
45,tt5363618,2021-05-26,2021-05-26,,"Sound of Metal","Sound of Metal",https://www.imdb.com/title/tt5363618/,Movie,7.7,120,2019,"Drama, Music",154941,2020-12-04,"Darius Marder"
46,tt8983164,2021-05-27,2021-05-27,"Hindi","Chhalaang","Chhalaang",https://www.imdb.com/title/tt8983164/,Movie,6.7,136,2020,"Comedy, Drama, Sport",20017,2020-11-13,"Hansal Mehta"
47,tt10189514,2021-11-21,2021-11-21,"Tamil","Soorarai Pottru","Soorarai Pottru",https://www.imdb.com/title/tt10189514/,Movie,8.7,153,2020,"Drama",125886,2020-11-12,"Sudha Kongara"
