Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
129,tt8262802,2020-01-02,2020-01-02,,"The Holiday Calendar","The Holiday Calendar",https://www.imdb.com/title/tt8262802/,Movie,5.7,95,2018,"Drama, Fantasy, Romance",11600,2018-11-02,"Bradley Walsh"
130,tt0069049,2020-01-02,2020-01-02,,"The Other Side of the Wind","The Other Side of the Wind",https://www.imdb.com/title/tt0069049/,Movie,6.7,122,2018,"Drama",8175,2018-11-02,"Orson Welles"
131,tt6679794,2020-01-02,2020-01-02,,"Outlaw King","Outlaw King",https://www.imdb.com/title/tt6679794/,Movie,6.9,121,2018,"Action, Biography, Drama, History, War",82787,2018-11-09,"David Mackenzie"
132,tt8954732,2020-01-02,2020-01-02,,"The Princess Switch","The Princess Switch",https://www.imdb.com/title/tt8954732/,Movie,6.1,101,2018,"Comedy, Drama, Family, Romance",31881,2018-11-16,"Mike Rohl"
133,tt8361028,2020-01-02,2020-01-02,,"Cam","Cam",https://www.imdb.com/title/tt8361028/,Movie,5.9,94,2018,"Drama, Horror, Mystery, Thriller",36983,2018-11-16,"Daniel Goldhaber"
134,tt6412452,2020-01-02,2020-01-02,,"The Ballad of Buster Scruggs","The Ballad of Buster Scruggs",https://www.imdb.com/title/tt6412452/,Movie,7.2,133,2018,"Comedy, Drama, Musical, Mystery, Romance, Western",172034,2018-11-09,"Ethan Coen, Joel Coen"
135,tt2990140,2020-01-02,2020-01-02,,"The Christmas Chronicles","The Christmas Chronicles",https://www.imdb.com/title/tt2990140/,Movie,7.0,104,2018,"Adventure, Comedy, Family, Fantasy",84408,2018-11-22,"Clay Kaytis"
136,tt8709036,2020-01-02,2020-01-02,,"A Christmas Prince: The Royal Wedding","A Christmas Prince: The Royal Wedding",https://www.imdb.com/title/tt8709036/,Movie,5.3,92,2018,"Comedy, Drama, Romance",12097,2018-11-30,"John Schultz"
137,tt6747420,2020-01-02,2020-05-09,"Hindi","Rajma Chawal","Rajma Chawal",https://www.imdb.com/title/tt6747420/,Movie,5.7,117,2018,"Comedy, Drama, Family",1982,2018-11-30,"Leena Yadav"
138,tt2388771,2020-01-02,2020-01-02,,"Mowgli: Legend of the Jungle","Mowgli",https://www.imdb.com/title/tt2388771/,Movie,6.5,104,2018,"Adventure, Drama, Fantasy",66549,2018-12-07,"Andy Serkis"
139,tt4878482,2020-05-29,2020-05-29,,"Dumplin'","Dumplin'",https://www.imdb.com/title/tt4878482/,Movie,6.5,110,2018,"Comedy, Drama",38208,2018-12-07,"Anne Fletcher"
140,tt6155172,2020-01-02,2020-05-09,"Spanish","Roma","Roma",https://www.imdb.com/title/tt6155172/,Movie,7.7,135,2018,"Drama",171894,2018-12-14,"Alfonso Cuarón"
141,tt2737304,2020-01-02,2020-01-02,,"Bird Box","Bird Box",https://www.imdb.com/title/tt2737304/,Movie,6.6,124,2018,"Horror, Mystery, Sci-Fi",396772,2018-12-21,"Susanne Bier"
142,tt7427356,2020-01-02,2020-01-02,,"The Last Laugh","The Last Laugh",https://www.imdb.com/title/tt7427356/,Movie,5.6,98,2019,"Comedy, Drama",7017,2019-01-11,"Greg Pritikin"
143,tt3256226,2020-01-02,2020-01-02,,"IO","IO",https://www.imdb.com/title/tt3256226/,Movie,4.8,96,2019,"Adventure, Drama, Sci-Fi",36703,2019-01-18,"Jonathan Helpert"
144,tt6078866,2020-01-02,2020-05-09,"Hindi","Soni","Soni",https://www.imdb.com/title/tt6078866/,Movie,7.1,97,2018,"Crime, Drama",3038,2019-01-18,"Ivan Ayr"
145,tt5316540,2020-05-26,2020-05-26,,"Close","Close",https://www.imdb.com/title/tt5316540/,Movie,5.7,94,2019,"Action, Drama, Thriller",27618,2019-01-18,"Vicky Jewson"
146,tt4139588,2020-01-02,2020-01-02,,"Polar","Polar",https://www.imdb.com/title/tt4139588/,Movie,6.3,118,2019,"Action, Crime, Thriller",100930,2019-01-25,"Jonas Åkerlund"
147,tt7043012,2020-01-02,2020-01-02,,"Velvet Buzzsaw","Velvet Buzzsaw",https://www.imdb.com/title/tt7043012/,Movie,5.7,113,2019,"Horror, Mystery, Thriller",66993,2019-02-01,"Dan Gilroy"
148,tt8128188,2020-01-02,2020-01-02,,"High Flying Bird","High Flying Bird",https://www.imdb.com/title/tt8128188/,Movie,6.2,90,2019,"Drama, Sport",9333,2019-02-08,"Steven Soderbergh"
149,tt6728096,2020-05-29,2020-05-29,,"The Breaker Upperers","The Breaker Upperers",https://www.imdb.com/title/tt6728096/,Movie,5.9,90,2018,"Comedy",6974,2019-02-15,"Madeleine Sami, Jackie van Beek"
150,tt8041276,2020-01-02,2020-01-02,,"Paddleton","Paddleton",https://www.imdb.com/title/tt8041276/,Movie,7.2,89,2019,"Comedy, Drama",15666,2019-02-22,"Alex Lehmann"
151,tt7533152,2020-05-26,2020-05-26,,"The Boy Who Harnessed the Wind","The Boy Who Harnessed the Wind",https://www.imdb.com/title/tt7533152/,Movie,7.6,113,2019,"Biography, Drama, History",46203,2019-03-01,"Chiwetel Ejiofor"
152,tt2452244,2020-05-26,2020-05-26,,"Isn't It Romantic","Isn't It Romantic",https://www.imdb.com/title/tt2452244/,Movie,5.9,89,2019,"Comedy, Fantasy, Musical, Romance",74590,2019-02-13,"Todd Strauss-Schulson"
153,tt5848416,2020-01-02,2020-01-02,,"Walk. Ride. Rodeo.","Walk. Ride. Rodeo.",https://www.imdb.com/title/tt5848416/,Movie,6.4,100,2019,"Biography, Drama, Sport",2858,2019-03-08,"Conor Allyn"
154,tt6155456,2020-01-02,2020-01-02,,"Juanita","Juanita",https://www.imdb.com/title/tt6155456/,Movie,6.0,90,2019,"Drama",2606,2019-03-08,"Clark Johnson"
155,tt1488606,2020-01-02,2020-01-02,,"Triple Frontier","Triple Frontier",https://www.imdb.com/title/tt1488606/,Movie,6.5,125,2019,"Action, Thriller",149862,2019-03-13,"J.C. Chandor"
156,tt0800325,2020-01-02,2020-01-02,,"The Dirt","The Dirt",https://www.imdb.com/title/tt0800325/,Movie,7.0,107,2019,"Biography, Comedy, Drama, Music",56704,2019-03-22,"Jeff Tremaine"
157,tt6908274,2020-05-29,2020-05-29,"Spanish","Mirage","Durante la tormenta",https://www.imdb.com/title/tt6908274/,Movie,7.4,128,2018,"Drama, Fantasy, Mystery, Romance, Thriller",66165,2019-03-22,"Oriol Paulo"
158,tt1860242,2020-01-02,2020-01-02,,"The Highwaymen","The Highwaymen",https://www.imdb.com/title/tt1860242/,Movie,6.9,132,2019,"Biography, Crime, Drama, Mystery, Thriller, Western",106543,2019-03-29,"John Lee Hancock"
159,tt2338454,2020-01-02,2020-01-02,,"Unicorn Store","Unicorn Store",https://www.imdb.com/title/tt2338454/,Movie,5.6,92,2017,"Comedy, Drama, Fantasy",21019,2019-04-05,"Brie Larson"
160,tt7315484,2020-05-26,2020-05-26,,"The Silence","The Silence",https://www.imdb.com/title/tt7315484/,Movie,5.4,90,2019,"Drama, Horror, Sci-Fi, Thriller",52204,2019-04-10,"John R. Leonetti"
161,tt8201170,2020-01-02,2020-01-02,,"The Perfect Date","The Perfect Date",https://www.imdb.com/title/tt8201170/,Movie,5.8,89,2019,"Comedy, Romance",43924,2019-04-12,"Chris Nelson"
162,tt8075260,2020-01-02,2020-01-02,,"Someone Great","Someone Great",https://www.imdb.com/title/tt8075260/,Movie,6.2,92,2019,"Comedy, Romance",25821,2019-04-19,"Jennifer Kaytin Robinson"
163,tt3257794,2020-01-02,2020-05-09,"Hindi","Music Teacher","Music Teacher",https://www.imdb.com/title/tt3257794/,Movie,6.3,101,2018,"Drama, Romance",784,2019-04-19,"Sarthak Dasgupta"
164,tt7957694,2020-01-02,2020-01-02,,"The Last Summer","The Last Summer",https://www.imdb.com/title/tt7957694/,Movie,5.5,109,2019,"Comedy, Romance",14562,2019-05-03,"William Bindley"
165,tt8169446,2020-01-02,2020-01-02,,"Wine Country","Wine Country",https://www.imdb.com/title/tt8169446/,Movie,5.5,103,2019,"Adventure, Comedy, Drama",23329,2019-05-10,"Amy Poehler"
166,tt9032888,2020-01-02,2020-01-02,,"Good Sam","Good Sam",https://www.imdb.com/title/tt9032888/,Movie,5.8,89,2019,"Comedy, Drama, Romance",3426,2019-05-16,"Kate Melville"
167,tt8743064,2020-01-02,2020-01-02,,"See You Yesterday","See You Yesterday",https://www.imdb.com/title/tt8743064/,Movie,5.3,84,2019,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller",11765,2019-05-17,"Stefon Bristol"
168,tt8179388,2020-01-02,2020-01-02,,"Rim of the World","Rim of the World",https://www.imdb.com/title/tt8179388/,Movie,5.3,98,2019,"Action, Adventure, Comedy, Sci-Fi",25786,2019-05-24,"McG"
169,tt7772580,2020-01-02,2020-01-02,,"The Perfection","The Perfection",https://www.imdb.com/title/tt7772580/,Movie,6.2,90,2018,"Drama, Horror, Music, Thriller",50617,2019-05-24,"Richard Shepard"
170,tt1489887,2020-05-26,2020-05-26,,"Booksmart","Booksmart",https://www.imdb.com/title/tt1489887/,Movie,7.1,102,2019,"Comedy",134123,2019-05-24,"Olivia Wilde"
171,tt7374948,2020-01-02,2020-01-02,,"Always Be My Maybe","Always Be My Maybe",https://www.imdb.com/title/tt7374948/,Movie,6.8,101,2019,"Comedy, Romance",63798,2019-05-31,"Nahnatchka Khan"
172,tt10243678,2020-01-02,2020-05-09,"Hindi","Chopsticks","Chopsticks",https://www.imdb.com/title/tt10243678/,Movie,6.5,100,2019,"Comedy, Drama",5296,2019-05-31,"Sachin Yardi"
173,tt6292852,2020-05-26,2020-05-26,,"I Am Mother","I Am Mother",https://www.imdb.com/title/tt6292852/,Movie,6.7,113,2019,"Drama, Mystery, Sci-Fi, Thriller",101165,2019-06-07,"Grant Sputore"
174,tt1618434,2020-01-02,2020-01-02,,"Murder Mystery","Murder Mystery",https://www.imdb.com/title/tt1618434/,Movie,6.1,97,2019,"Crime, Mystery, Romance",174132,2019-06-14,"Kyle Newacheck"
175,tt7524414,2020-01-02,2020-01-02,,"Beats","Beats",https://www.imdb.com/title/tt7524414/,Movie,7.1,101,2019,"Comedy, Crime, Drama, Music",4860,2020-06-26,"Brian Welsh"
176,tt4463894,2020-05-26,2020-05-26,,"Shaft","Shaft",https://www.imdb.com/title/tt4463894/,Movie,6.4,111,2019,"Action, Comedy, Crime, Mystery",59773,2019-06-14,"Tim Story"
177,tt2499472,2020-01-02,2020-01-02,,"Point Blank","Point Blank",https://www.imdb.com/title/tt2499472/,Movie,5.7,86,2019,"Action, Crime, Drama, Thriller",15960,2019-07-12,"Joe Lynch"
178,tt9419834,2020-01-02,2020-01-02,,"Secret Obsession","Secret Obsession",https://www.imdb.com/title/tt9419834/,Movie,4.5,97,2019,"Crime, Drama, Mystery, Thriller",24800,2019-07-18,"Peter Sullivan"
179,tt4995776,2020-01-02,2020-01-02,,"The Red Sea Diving Resort","The Red Sea Diving Resort",https://www.imdb.com/title/tt4995776/,Movie,6.6,129,2019,"Drama, History, Thriller",33144,2019-07-31,"Gideon Raff"
180,tt4180560,2020-01-02,2020-01-02,,"Otherhood","Otherhood",https://www.imdb.com/title/tt4180560/,Movie,6.1,100,2019,"Comedy",12805,2019-08-02,"Cindy Chupack"
181,tt8998738,2020-05-29,2021-01-28,"Hindi","Lovefucked","Lovefucked",https://www.imdb.com/title/tt8998738/,Movie,5.8,106,2018,"Drama, Romance",497,2019-08-09,"Aadish Keluskar"
182,tt8976710,2020-01-02,2020-01-02,,"Sextuplets","Sextuplets",https://www.imdb.com/title/tt8976710/,Movie,4.5,97,2019,"Comedy",9725,2019-08-16,"Michael Tiddes"
183,tt9860728,2020-01-02,2020-01-02,,"Falling Inn Love","Falling Inn Love",https://www.imdb.com/title/tt9860728/,Movie,5.7,98,2019,"Comedy, Romance",22758,2019-08-29,"Roger Kumble"
184,tt9252508,2020-01-02,2020-01-02,,"Tall Girl","Tall Girl",https://www.imdb.com/title/tt9252508/,Movie,5.3,101,2019,"Comedy, Drama, Family, Romance",27514,2019-09-13,"Nzingha Stewart"
185,tt9398640,2020-01-02,2020-01-02,,"Between Two Ferns: The Movie","Between Two Ferns: The Movie",https://www.imdb.com/title/tt9398640/,Movie,6.1,82,2019,"Comedy",37345,2019-09-20,"Scott Aukerman"
186,tt8110640,2020-01-02,2020-01-02,,"In the Shadow of the Moon","In the Shadow of the Moon",https://www.imdb.com/title/tt8110640/,Movie,6.2,115,2019,"Action, Crime, Mystery, Sci-Fi, Thriller",62755,2019-09-27,"Jim Mickle"
187,tt4687108,2020-01-02,2020-01-02,,"In the Tall Grass","In the Tall Grass",https://www.imdb.com/title/tt4687108/,Movie,5.5,101,2019,"Horror, Mystery, Sci-Fi, Thriller",67132,2019-10-04,"Vincenzo Natali"
188,tt4126476,2020-05-26,2020-05-26,,"After","After",https://www.imdb.com/title/tt4126476/,Movie,5.3,105,2019,"Drama, Romance",68615,2019-04-12,"Jenny Gage"
189,tt9243946,2020-01-02,2020-01-02,,"El Camino","El Camino",https://www.imdb.com/title/tt9243946/,Movie,7.3,122,2019,"Action, Crime, Drama, Thriller",303492,2019-10-11,"Vince Gilligan"
190,tt4332232,2020-01-02,2020-01-02,,"Fractured","Fractured",https://www.imdb.com/title/tt4332232/,Movie,6.5,99,2019,"Drama, Mystery, Thriller",97916,2019-10-11,"Brad Anderson"
191,tt5294518,2020-01-02,2020-01-02,,"Eli","Eli",https://www.imdb.com/title/tt5294518/,Movie,5.8,98,2019,"Drama, Horror, Mystery, Thriller",41986,2019-10-18,"Ciarán Foy"
192,tt5865326,2020-01-02,2020-01-02,,"The Laundromat","The Laundromat",https://www.imdb.com/title/tt5865326/,Movie,6.3,96,2019,"Comedy, Crime, Drama, History",55535,2019-09-27,"Steven Soderbergh"
193,tt11066130,2020-01-02,2020-05-09,"Hindi","Upstarts","Upstarts",https://www.imdb.com/title/tt11066130/,Movie,6.7,112,2019,"Drama",973,2019-10-18,"Udai Singh Pawar"
194,tt5913798,2020-05-26,2020-05-26,,"Wounds","Wounds",https://www.imdb.com/title/tt5913798/,Movie,4.1,95,2019,"Drama, Horror, Mystery, Thriller",22233,2019-10-18,"Babak Anvari"
195,tt8526872,2020-01-02,2020-01-02,,"Dolemite Is My Name","Dolemite Is My Name",https://www.imdb.com/title/tt8526872/,Movie,7.2,118,2019,"Biography, Comedy, Drama",65844,2019-10-25,"Craig Brewer"
196,tt9257484,2020-01-02,2020-01-02,,"Rattlesnake","Rattlesnake",https://www.imdb.com/title/tt9257484/,Movie,4.7,85,2019,"Drama, Horror, Mystery, Thriller",9561,2019-10-25,"Zak Hilditch"
197,tt7984766,2020-01-02,2020-01-02,,"The King","The King",https://www.imdb.com/title/tt7984766/,Movie,7.3,140,2019,"Biography, Drama, History, Romance, War",158186,2019-11-01,"David Michôd"
198,tt9664078,2020-01-02,2020-01-02,,"American Son","American Son",https://www.imdb.com/title/tt9664078/,Movie,5.9,90,2019,"Drama",7600,2019-11-01,"Kenny Leon"
199,tt6593054,2020-01-02,2020-05-09,"Hindi","Drive","Drive",https://www.imdb.com/title/tt6593054/,Movie,3.2,147,2019,"Action, Crime, Thriller",8294,2019-11-01,"Tarun Mansukhani"
200,tt8510488,2020-01-02,2020-01-02,,"Holiday in the Wild","Holiday in the Wild",https://www.imdb.com/title/tt8510488/,Movie,6.2,85,2019,"Comedy, Drama, Romance",17620,2019-11-01,"Ernie Barbarash"
201,tt1950235,2020-01-02,2020-01-02,,"Let It Snow","Let It Snow",https://www.imdb.com/title/tt1950235/,Movie,5.9,92,2019,"Comedy, Romance",25262,2019-11-08,"Luke Snellin"
202,tt8178486,2020-01-02,2020-01-02,,"Earthquake Bird","Earthquake Bird",https://www.imdb.com/title/tt8178486/,Movie,6.0,107,2019,"Crime, Drama, Mystery, Romance, Thriller",15974,2019-11-15,"Wash Westmoreland"
203,tt11163028,2020-01-02,2020-05-09,"Hindi","House Arrest","House Arrest",https://www.imdb.com/title/tt11163028/,Movie,5.5,104,2019,"Comedy",1837,2019-11-15,"Samit Basu, Shashanka Ghosh"
204,tt4729430,2020-01-02,2020-01-02,,"Klaus","Klaus",https://www.imdb.com/title/tt4729430/,Movie,8.2,96,2019,"Animation, Adventure, Comedy, Family, Fantasy",196146,2019-11-15,"Sergio Pablos, Carlos Martínez López"
205,tt10060094,2020-01-02,2020-01-02,,"The Knight Before Christmas","The Knight Before Christmas",https://www.imdb.com/title/tt10060094/,Movie,5.6,92,2019,"Adventure, Comedy, Drama, Fantasy, Romance",20604,2019-11-21,"Monika Mitchell"
206,tt1302006,2020-01-02,2020-01-02,,"The Irishman","The Irishman",https://www.imdb.com/title/tt1302006/,Movie,7.8,209,2019,"Biography, Crime, Drama",441087,2019-11-27,"Martin Scorsese"
207,tt10091530,2020-01-02,2020-01-02,,"Holiday Rush","Holiday Rush",https://www.imdb.com/title/tt10091530/,Movie,5.0,92,2019,"Comedy, Drama, Family, Romance",3195,2019-11-28,"Leslie Small"
208,tt9806192,2020-05-26,2020-05-26,"French","I Lost My Body","J'ai perdu mon corps",https://www.imdb.com/title/tt9806192/,Movie,7.5,81,2019,"Animation, Drama, Fantasy, Romance",37201,2019-11-15,"Jérémy Clapin"
209,tt10006006,2020-01-02,2020-01-02,,"A Christmas Prince: The Royal Baby","A Christmas Prince: The Royal Baby",https://www.imdb.com/title/tt10006006/,Movie,5.4,84,2019,"Family, Romance",8048,2019-12-05,"John Schultz"
210,tt7653254,2020-01-02,2020-01-02,,"Marriage Story","Marriage Story",https://www.imdb.com/title/tt7653254/,Movie,7.9,137,2019,"Drama, Romance",353535,2019-12-06,"Noah Baumbach"
211,tt8106534,2020-01-02,2020-01-02,,"6 Underground","6 Underground",https://www.imdb.com/title/tt8106534/,Movie,6.1,128,2019,"Action, Thriller",201283,2019-12-13,"Michael Bay"
212,tt8404614,2020-01-02,2020-01-02,,"The Two Popes","The Two Popes",https://www.imdb.com/title/tt8404614/,Movie,7.6,125,2019,"Biography, Comedy, Drama",134740,2019-12-20,"Fernando Meirelles"
213,tt10230404,2020-01-02,2020-05-08,"Hindi","Ghost Stories","Ghost Stories",https://www.imdb.com/title/tt10230404/,Movie,4.4,144,2020,"Horror, Thriller",6016,2020-01-01,"Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap"
214,tt8116640,2020-05-26,2020-05-26,,"Go Karts","Go!",https://www.imdb.com/title/tt8116640/,Movie,5.9,102,2020,"Family, Sport",3748,2020-01-16,"Owen Trevor"
215,tt11390036,2020-02-04,2020-02-04,,"A Fall from Grace","A Fall from Grace",https://www.imdb.com/title/tt11390036/,Movie,5.9,120,2020,"Crime, Drama, Mystery, Thriller",17493,2020-01-17,"Tyler Perry"
216,tt5727208,2020-05-26,2020-05-26,,"Uncut Gems","Uncut Gems",https://www.imdb.com/title/tt5727208/,Movie,7.4,135,2019,"Crime, Drama, Thriller",326595,2019-12-25,"Benny Safdie, Josh Safdie"
217,tt11388406,2020-02-10,2020-02-10,,"Horse Girl","Horse Girl",https://www.imdb.com/title/tt11388406/,Movie,6.0,103,2020,"Drama, Mystery, Thriller",20806,2020-02-07,"Jeff Baena"
218,tt9354842,2020-02-12,2020-02-12,,"To All the Boys: P.S. I Still Love You","To All the Boys: P.S. I Still Love You",https://www.imdb.com/title/tt9354842/,Movie,6.1,101,2020,"Comedy, Drama, Romance",48086,2020-02-12,"Michael Fimognari"
219,tt6445414,2020-05-26,2020-05-26,,"The Coldest Game","The Coldest Game",https://www.imdb.com/title/tt6445414/,Movie,6.2,102,2019,"History, Sport, Thriller",12776,2020-02-08,"Lukasz Kosmicki"
220,tt7456312,2020-02-23,2020-02-23,,"The Last Thing He Wanted","The Last Thing He Wanted",https://www.imdb.com/title/tt7456312/,Movie,4.4,115,2020,"Crime, Drama, Mystery, Thriller",16939,2020-02-21,"Dee Rees"
221,tt10230436,2020-02-23,2020-05-08,"Hindi","Yeh Ballet","Yeh Ballet",https://www.imdb.com/title/tt10230436/,Movie,7.5,117,2020,"Drama, Musical",1562,2020-02-24,"Sooni Taraporevala"
222,tt8856470,2020-05-26,2020-05-26,,"Pokémon: Mewtwo Strikes Back - Evolution","Gekijô-ban poketto monsutâ: Myûtsû no gyakushû Evolution",https://www.imdb.com/title/tt8856470/,Movie,5.7,98,2019,"Animation, Action, Family, Fantasy",6452,2020-02-27,"Motonori Sakakibara, Tetsuo Yajima, Kunihiko Yuyama"
223,tt3907584,2020-03-19,2020-03-19,,"All the Bright Places","All the Bright Places",https://www.imdb.com/title/tt3907584/,Movie,6.6,107,2020,"Drama, Romance",39851,2020-02-28,"Brett Haley"
224,tt10062614,2020-03-19,2020-05-08,"Hindi","Guilty","Guilty",https://www.imdb.com/title/tt10062614/,Movie,5.4,119,2020,"Drama, Thriller",4827,2020-03-06,"Ruchi Narain"
225,tt8629748,2020-03-19,2020-03-19,,"Spenser Confidential","Spenser Confidential",https://www.imdb.com/title/tt8629748/,Movie,6.2,111,2020,"Action, Comedy, Crime, Drama, Mystery, Thriller",100498,2020-03-06,"Peter Berg"
226,tt3111426,2020-03-19,2020-03-19,,"Lost Girls","Lost Girls",https://www.imdb.com/title/tt3111426/,Movie,6.2,95,2020,"Crime, Drama, Mystery, Thriller",25686,2020-03-13,"Liz Garbus"
227,tt9310328,2020-03-19,2020-03-19,,"Altered Carbon: Resleeved","Altered Carbon: Resleeved",https://www.imdb.com/title/tt9310328/,Movie,6.4,74,2020,"Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller",7098,2020-03-19,"Takeru Nakajima, Yoshiyuki Okada, Shouta Kitamoto"
228,tt8228288,2020-05-26,2020-06-02,"Spanish","The Platform","El hoyo",https://www.imdb.com/title/tt8228288/,Movie,7.0,94,2019,"Horror, Mystery, Sci-Fi, Thriller",293945,2020-03-20,"Galder Gaztelu-Urrutia"
229,tt9345754,2020-04-26,2020-05-08,"Spanish","The Occupant","Hogar",https://www.imdb.com/title/tt9345754/,Movie,6.4,103,2020,"Drama, Thriller",20352,2020-03-25,"David Pastor, Àlex Pastor"
230,tt11953628,2020-04-26,2020-05-08,"Hindi","Maska","Maska",https://www.imdb.com/title/tt11953628/,Movie,5.9,111,2020,"Comedy, Drama, Romance",1596,2020-03-30,"Neeraj Udhwani, Jaspal Singh"
231,tt9261218,2020-04-26,2020-04-26,,"Uncorked","Uncorked",https://www.imdb.com/title/tt9261218/,Movie,6.4,104,2020,"Drama",7135,2020-03-27,"Prentice Penny"
232,tt9898858,2020-04-26,2020-04-26,,"Coffee & Kareem","Coffee & Kareem",https://www.imdb.com/title/tt9898858/,Movie,5.2,88,2020,"Action, Comedy, Crime",14749,2020-04-03,"Michael Dowse"
233,tt10540242,2020-04-26,2020-04-26,,"The Main Event","The Main Event",https://www.imdb.com/title/tt10540242/,Movie,4.8,101,2020,"Action, Comedy, Family, Fantasy, Sport",2756,2020-04-10,"Jaime Eliezer Karas"
234,tt5096470,2020-04-26,2020-04-26,,"Love Wedding Repeat","Love Wedding Repeat",https://www.imdb.com/title/tt5096470/,Movie,5.6,100,2020,"Comedy, Romance",22452,2020-04-10,"Dean Craig"
235,tt8902948,2020-04-26,2020-05-08,"English/Taiwanese/Mandarin","Tigertail","Tigertail",https://www.imdb.com/title/tt8902948/,Movie,6.6,91,2020,"Drama",3889,2020-04-10,"Alan Yang"
236,tt8750570,2020-04-26,2020-04-26,,"Sergio","Sergio",https://www.imdb.com/title/tt8750570/,Movie,6.2,118,2020,"Biography, Drama, History, Romance",11215,2020-04-17,"Greg Barker"
237,tt5206260,2020-04-26,2020-04-26,,"The Willoughbys","The Willoughbys",https://www.imdb.com/title/tt5206260/,Movie,6.4,90,2020,"Animation, Adventure, Comedy, Family",21988,2020-04-22,"Kris Pearn, Cory Evans, Rob Lodermeier"
238,tt11777040,2020-04-26,2020-05-08,"Korean","Time to Hunt","Sanyangeui sigan",https://www.imdb.com/title/tt11777040/,Movie,6.3,134,2020,"Action, Crime, Drama, Sci-Fi, Thriller",7086,2020-04-10,"Yoon Sunghyun"
239,tt8936646,2020-04-26,2020-05-08,"English/Hindi/Bengali","Extraction","Extraction",https://www.imdb.com/title/tt8936646/,Movie,6.8,116,2020,"Action, Crime, Thriller",270770,2020-04-24,"Sam Hargrave"
240,tt10183816,2020-04-26,2020-04-26,,"Dangerous Lies","Dangerous Lies",https://www.imdb.com/title/tt10183816/,Movie,5.4,96,2020,"Crime, Mystery, Thriller",19091,2020-04-30,"Michael M. Scott"
241,tt10230426,2020-04-26,2020-05-08,"Hindi","Mrs. Serial Killer","Mrs. Serial Killer",https://www.imdb.com/title/tt10230426/,Movie,4.0,106,2020,"Crime, Drama, Thriller",19206,2020-05-01,"Shirish Kunder"
242,tt9683478,2020-04-26,2020-04-26,,"The Half of It","The Half of It",https://www.imdb.com/title/tt9683478/,Movie,6.9,104,2020,"Comedy, Drama",44427,2020-05-01,"Alice Wu"
243,tt3993886,2020-04-26,2020-04-26,,"All Day and a Night","All Day and a Night",https://www.imdb.com/title/tt3993886/,Movie,6.0,121,2020,"Drama",4449,2020-05-01,"Joe Robert Cole"
244,tt12327140,2020-05-19,2020-05-19,"Hindi","What are the Odds?","What are the Odds?",https://www.imdb.com/title/tt12327140/,Movie,5.3,92,2019,"Drama",898,2020-05-20,"Megha Ramaswamy"
245,tt9619798,2020-04-26,2020-04-26,,"The Wrong Missy","The Wrong Missy",https://www.imdb.com/title/tt9619798/,Movie,5.8,90,2020,"Comedy, Romance",46838,2020-05-13,"Tyler Spindel"
246,tt8851668,2020-04-26,2020-04-26,,"The Lovebirds","The Lovebirds",https://www.imdb.com/title/tt8851668/,Movie,6.1,86,2020,"Action, Comedy, Crime, Mystery, Romance, Thriller",28039,2020-05-22,"Michael Showalter"
247,tt11651780,2020-05-20,2020-06-04,"Hindi","Choked","Choked",https://www.imdb.com/title/tt11651780/,Movie,5.7,114,2020,"Drama",5826,2020-06-05,"Anurag Kashyap"
248,tt1552211,2020-05-08,2020-05-08,,"The Last Days of American Crime","The Last Days of American Crime",https://www.imdb.com/title/tt1552211/,Movie,3.8,148,2020,"Action, Crime, Drama, Sci-Fi, Thriller",12564,2020-06-05,"Olivier Megaton"
249,tt9777644,2020-05-08,2020-06-14,,"Da 5 Bloods","Da 5 Bloods",https://www.imdb.com/title/tt9777644/,Movie,6.5,154,2020,"Adventure, Drama, War",55712,2020-06-12,"Spike Lee"
250,tt11958344,2020-05-08,2020-06-24,"Japanese","A Whisker Away","Nakitai watashi wa neko o kaburu",https://www.imdb.com/title/tt11958344/,Movie,6.7,104,2020,"Animation, Adventure, Drama, Family, Fantasy, Romance",14947,2020-06-18,"Jun'ichi Satô, Tomotaka Shibayama"
251,tt10714856,2020-05-19,2020-06-24,,"Feel the Beat","Feel the Beat",https://www.imdb.com/title/tt10714856/,Movie,6.3,109,2020,"Comedy, Drama, Family",13560,2020-06-19,"Elissa Down"
252,tt12393526,2020-06-14,2020-06-24,"Hindi","Bulbbul","Bulbbul",https://www.imdb.com/title/tt12393526/,Movie,6.6,94,2020,"Drama, Horror, Mystery",15106,2020-06-24,"Anvita Dutt"
253,tt8580274,2020-05-19,2020-06-24,,"Eurovision Song Contest: The Story of Fire Saga","Eurovision Song Contest: The Story of Fire Saga",https://www.imdb.com/title/tt8580274/,Movie,6.5,123,2020,"Comedy, Music",104315,2020-06-26,"David Dobkin"
254,tt1545304,2020-05-19,2020-07-05,,"Desperados","Desperados",https://www.imdb.com/title/tt1545304/,Movie,5.2,105,2020,"Comedy, Romance",11343,2020-07-03,"LP"
255,tt7556122,2020-05-08,2020-07-05,,"The Old Guard","The Old Guard",https://www.imdb.com/title/tt7556122/,Movie,6.7,125,2020,"Action, Thriller",187824,2020-07-10,"Gina Prince-Bythewood"
